Piloto;70th Anniversary;Abu Dhabi;Austria;Bahrain;Belgium;Eifel;Emilia-Romagna;Great Britain;Hungary;Italy;Portugal;Russia;Sakhir;Spain;Styria;Turkey;Tuscany;Média;Devio Padrão
Valtteri Bottas;2;0;0;1;0;1;1;0;1;0;2;0;6;0;1;2;0;1.00;1.46
Pierre Gasly;1;0;1;5;3;4;0;0;3;0;0;0;3;0;6;1;0;1.59;1.94
Antonio Giovinazzi;2;5;5;6;0;1;1;3;5;3;5;1;2;1;6;0;0;2.71;2.14
Lewis Hamilton;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.18;0.38
Nicholas Latifi;2;2;2;8;2;5;0;2;1;5;6;4;2;5;4;1;0;3.00;2.17
Charles Leclerc;2;5;0;6;4;4;1;0;5;1;2;0;0;0;0;2;6;2.24;2.21
Lando Norris;2;1;4;0;0;1;1;2;2;0;3;3;4;0;2;0;0;1.47;1.38
Esteban Ocon;2;1;1;3;0;0;0;0;3;1;2;0;2;3;1;2;0;1.24;1.11
Sergio Pérez;0;0;4;0;4;2;1;0;0;3;2;0;0;0;1;2;3;1.29;1.45
Kimi Räikkönen;6;1;0;5;2;3;0;4;2;12;8;0;5;2;2;6;2;3.53;3.11
Daniel Ricciardo;2;0;0;3;0;1;0;1;1;0;5;1;0;2;3;1;2;1.29;1.36
George Russell;1;3;1;2;0;1;0;2;5;3;4;5;0;2;3;6;0;2.24;1.86
Carlos Sainz;0;0;0;2;0;0;0;0;0;0;7;0;1;1;3;0;0;0.82;1.76
Lance Stroll;1;3;0;0;2;0;0;3;1;2;0;0;3;1;2;6;0;1.41;1.61
Max Verstappen;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;1;0;0.29;0.67
Sebastian Vettel;0;2;2;3;3;4;0;3;1;0;2;3;6;2;0;3;0;2.00;1.64
