Piloto;70th Anniversary;Abu Dhabi;Austria;Bahrain;Belgium;Eifel;Emilia-Romagna;Great Britain;Hungary;Italy;Portugal;Russia;Sakhir;Spain;Styria;Turkey;Tuscany;Média;Devio Padrão
Valtteri Bottas;0;0;0;7;0;1;0;0;5;2;1;0;1;1;3;6;1;1.65;2.19
Pierre Gasly;3;5;0;1;9;8;0;3;0;0;7;3;1;1;3;4;0;2.82;2.85
Antonio Giovinazzi;0;1;4;1;0;0;0;1;1;0;1;2;1;3;3;0;0;1.06;1.21
Lewis Hamilton;3;0;2;0;0;1;0;0;1;8;2;1;0;0;0;1;0;1.12;1.94
Nicholas Latifi;1;1;0;2;1;0;0;1;0;1;4;0;1;0;0;0;0;0.71;1.02
Charles Leclerc;1;5;2;2;2;6;1;0;3;2;4;0;0;1;0;9;2;2.35;2.37
Lando Norris;2;0;1;3;2;0;0;2;3;2;4;4;4;0;3;4;2;2.12;1.45
Esteban Ocon;0;3;2;6;2;0;0;2;7;1;2;1;1;3;0;2;0;1.88;1.97
Sergio Pérez;0;6;1;2;7;4;1;0;2;3;7;1;11;1;8;1;2;3.35;3.16
Kimi Räikkönen;1;2;2;2;2;2;0;1;1;1;4;4;5;6;6;1;1;2.41;1.82
Daniel Ricciardo;2;0;0;6;2;2;1;2;2;1;4;2;1;0;1;0;2;1.65;1.49
George Russell;0;2;0;4;1;1;0;1;1;1;1;2;9;3;1;3;2;1.88;2.08
Carlos Sainz;1;2;3;7;0;0;1;3;2;3;7;0;2;4;4;3;0;2.47;2.12
Lance Stroll;0;3;0;0;0;0;1;2;3;2;3;0;0;2;5;1;1;1.35;1.45
Max Verstappen;1;0;0;0;0;0;1;0;0;2;2;1;0;0;1;1;0;0.56;0.70
Sebastian Vettel;4;1;3;5;0;3;1;0;2;1;5;1;2;0;0;3;3;2.00;1.64
