País;Código;Ano;Carvão per capita (kWh);Petróleo e derivados per capita (kWh);Gás per capita (kWh);Nuclear per capita (kWh);Hidráulica per capita (kWh);Eólica per capita (kWh);Solar per capita (kWh);Outras renováveis per capita (kWh);Total (kWh)
África;;1965;1010.461;1022.446;29.811;0;120.653;0;0;0;2183.371
África;;1966;984.359;1091.015;32.505;0;131.249;0;0;0;2239.128
África;;1967;981.168;1055.404;31.327;0;133.6;0;0;0;2201.499
África;;1968;994.882;1085.647;30.957;0;152.359;0;0;0;2263.845
África;;1969;978.624;1072.72;35.267;0;173.317;0;0;0;2259.928
África;;1970;992.598;1155.078;42.703;0;211.176;0;0;0;2401.555
África;;1971;1026.889;1272.063;49.346;0;193.734;0;0;1.221;2543.253
África;;1972;1003.587;1343.269;64.442;0;215.011;0;0;1.197;2627.506
África;;1973;1040.368;1407.242;100.629;0;221.531;0;0;1.201;2770.971
África;;1974;1054.505;1417.704;110.291;0;245.451;0;0;1.204;2829.155
África;;1975;1087.795;1444.003;129.351;0;252.661;0;0;1.152;2914.962
África;;1976;1128.9;1558.802;143.1;0;272.454;0;0;1.206;3104.462
África;;1977;1122.46;1605.675;155.766;0;291.242;0;0;1.198;3176.341
África;;1978;1060.861;1644.359;216.184;0;285.589;0;0;1.203;3208.196
África;;1979;1095.133;1705.255;321.348;0;297.25;0;0;1.205;3420.191
África;;1980;1141.002;1753.349;392.358;0;281.703;0;0;1.207;3569.619
África;;1981;1297.539;1811.985;466.305;0;284.538;0;0;1.236;3861.603
África;;1982;1391.129;1849.577;489.518;0;276.691;0;0;1.301;4008.216
África;;1983;1375.65;1857.718;523.213;0;242.414;0;0;1.232;4000.227
África;;1984;1430.403;1846.857;487.307;20.442;231.714;0;0;1.219;4017.942
África;;1985;1434.796;1836.605;508.257;26.911;250.371;0;0;1.362;4058.302
África;;1986;1427.109;1758.596;555.124;43.331;251.752;0;0;3.244;4039.156
África;;1987;1427.095;1804.217;557.152;29.514;234.773;0;0;3.149;4055.9
África;;1988;1491.435;1827.042;600.562;48.835;249.428;0;0;2.913;4220.215
África;;1989;1362.029;1841.907;605.483;50.253;254.8;0;0;2.794;4117.266
África;;1990;1392.577;1816.65;632.42;37.232;252.306;0;0;3.561;4134.746
África;;1991;1317.994;1774.423;620.437;39.237;260.258;0;0;3.536;4015.885
África;;1992;1291.627;1763.307;633.955;38.826;241.866;0;0;3.571;3973.152
África;;1993;1278.274;1732.75;605.166;29.555;230.912;0.008;0;3.828;3880.493
África;;1994;1278.398;1746.445;617.387;38.511;228.737;0.021;0;3.324;3912.823
África;;1995;1285.155;1763.592;643.055;43.766;231.468;0.024;0;3.953;3971.013
África;;1996;1270.876;1763.058;658.441;44.479;235.396;0.027;0;4.76;3977.037
África;;1997;1271.427;1766.739;629.497;46.609;235.318;0.027;0;5.118;3954.735
África;;1998;1212.148;1765.542;646.444;48.911;239.699;0.027;0;6.166;3918.937
África;;1999;1219.806;1786.671;636.788;45.051;248.066;0.069;0;5.953;3942.404
África;;2000;1187.785;1752.829;686.601;44.562;257.732;0.601;0.041;7.772;3937.923
África;;2001;1174.131;1727.016;763.792;35.602;268.58;1.38;0.05;7.757;3978.308
África;;2002;1097.267;1723.505;787.745;38.622;274.36;1.429;0.058;7.364;3930.35
África;;2003;1165.624;1728.566;815.716;39.551;258.842;1.673;0.067;8.191;4018.23
África;;2004;1251.105;1742.281;876.07;40.476;264.708;2.327;0.078;9.021;4186.066
África;;2005;1133.032;1801.448;881.71;33.156;261.502;2.291;0.09;8.837;4122.066
África;;2006;1120.907;1765.819;898.559;28.534;262.524;2.426;0.111;10.73;4089.61
África;;2007;1111.278;1783.345;935.099;31.215;262.973;2.803;0.142;8.667;4135.522
África;;2008;1194.266;1828.429;947.385;34.758;259.685;3.506;0.196;8.733;4276.958
África;;2009;1159.305;1851.9;929.248;33.163;258.349;4.116;0.249;9.226;4245.556
África;;2010;1119.011;1891.723;944.15;33.936;269.508;5.731;0.533;9.597;4274.189
África;;2011;1074.489;1792.686;995.008;31.353;268.39;5.799;1.462;9.549;4178.736
África;;2012;1021.41;1843.13;1048.281;30.522;261.149;5.921;2.341;9.615;4222.369
África;;2013;1005.848;1861.654;1042.037;32.158;268.185;8.192;1.799;10.101;4229.974
